,제목,저자,출판사,출판일,가격,ISBN
66,Oracle SQL (실전 오라클 SQL 가이드),문성기,다올미디어,20110831.0,0,9788996629726
67,NoSQL 프로그래밍 (한 권으로 끝내는 NoSQL 솔루션 활용법),샤샨크 티와리,위키북스,20130130.0,27000,9788998139117
68,NoSQL 핵심 가이드 (관계형 데이터베이스의 한계를 뒤어 넘는다),Tatsuya Sasaki,로드북,20111230.0,22500,9788996659860
69,오라클 PL/SQL 입문,어시스트 교육부,제이펍,20151230.0,24300,9791185890364
70,Real MySQL,이성욱,위키북스,20120508.0,40500,9788992939003
71,SQL이 보이는 그림책 (국내 최초 그림으로 배우는 SQL 프로그래밍 입문서),"ANK Co.,Ltd",성안당,20170719.0,0,9788931555196
72,MYSQL 성능 최적화,배론 슈와츠,위키북스,20101119.0,0,9788992939546
73,Oracle SQL (실전 오라클 SQL 가이드),문성기,다올미디어,20141031.0,0,9788997587155
74,SQL Tuning,Dan,O&#39;Reilly Media,20031201.0,44470,9780596005733
75,PHP6 MYSQL5 (다이내믹한 웹사이트 만들기),래리 울만,위키북스,20100528.0,0,9788992939461
76,Tribal SQL,,Red Gate Books,20130923.0,44560,9781906434809
77,"오라클 SQL과 PL/SQL (다양한 예제로 쉽게 배우는, 개정3판)",서진수^김균도,생능출판,20170908.0,28800,9788970509280
78,손에 잡히는 10분 SQL (가볍게 시작하는 데이터 분석의 첫걸음),벤 포터,인사이트,20201016.0,16200,9788966262687
79,EXCEL로 처음만나는 SQL,이상구^백지형^정호석^김정수,루나파인북스,20220301.0,14400,9791197119934
80,오라클 SQL과 PL SQL,서진수,생능출판,20121026.0,0,9788970507521
81,"실전 DB모델링과 SQL (금융, 공공 프로젝트를 위한)",이호상,혜지원,20140207.0,20700,9788983798084
82,MySQL 5.7 완벽 분석 (DB 관리자가 알아야 할 주요 개념과 175가지 신기능),오쿠노 미키야,인사이트,20190508.0,23400,9788966262403
83,업무에 바로 쓰는 SQL 튜닝 (최적의 성능을 위한 MySQL/MariaDB 쿼리 작성과 튜닝 실습),양바른,한빛미디어,20210701.0,19800,9791162244500
84,그림으로 배우는 SQL 입문 (다양한 그림과 예문으로 쉽게 배우는 SQL과 데이터베이스 초입문),사카시타 유리,영진닷컴,20210630.0,16200,9788931465518
85,SQL BOOSTER (프로젝트 성공을 위한 SQL 필독서),유일환,디비안(주)(DBian),20191101.0,25200,9791196395759
86,손에 잡히는 10분 SQL (SQL in 10 Minutes),벤 포터,인사이트,20130909.0,0,9788966260645
87,NoSQL 데이터 모델링 (빅데이터 시대를 여는 첫걸음),이장복,지앤선,20140731.0,0,9788993827842
88,MySQL Bible,,John Wiley & Sons,20020601.0,74290,9780764549328
89,MySQL Clustering,,MySQL Press,20060309.0,66860,9780672328558
90,SQL서버 2012 활용,이원호,오성미디어,20140822.0,15000,9788966281381
91,평생 필요한 데이터 분석(확장판) (차원이 다른 데이터 분석과 SQL 입문서),유일환,디비안(주)(DBian),20220701.0,28800,9791191941029
