,제목,저자,출판사,출판일,가격,ISBN
32,Visual Basic 2010 Made Easy,,Createspace,20120111.0,48040,9781467975193
33,Microsoft Visual Basic 2008,Not Available,Microsoft,20210101.0,0,9780735625419
34,쾌도난마 VisualBasic2010 프로그래밍 (최고수준의 프로그래머가 되기 위한),조정길,북스홀릭퍼블리싱,20121029.0,25200,9788996931133
35,Visual Basic Programming (문제해결방법 중심의),김경아,정익사,20111220.0,20000,9788935304929
36,Simply Visual Basic 2008,Deitel and Associates Inc. Staff,Prentice Hall,20080604.0,187570,9780136053033
37,Visual Basic 6.0 Programming,이복기,기한재,20040830.0,18000,9788970182865
38,ゲ-ム作りで學ぶVisualBasic2010入門,中島省吾／著,エスシ-シ-,20101001.0,28200,9784886479808
39,Simply Visual Basic 2010,,Prentice Hall,20120408.0,226170,9780132990608
40,Microsoft Visual Basic 2010 (Reloaded),,Cengage Learning,20100818.0,294060,9781111221799
41,Visual Basic for Testers,,Apress,20010701.0,73320,9781893115538
42,Visual Basic 2008 For Dummies,"Sempf, Bill",Wiley,20210101.0,0,9780470182383
43,Visual Basic 15.x 프로그래밍 실전 프로젝트,김성수,가메,20190107.0,21600,9788980783021
44,Visual Basic 2005 in a Nutshell,"Lomax, Paul",O&#39;Reilly,20210101.0,0,9780596101527
45,Visual Basic 2005 Made Simple,,Routledge,20171027.0,342550,9781138436343
46,Visual Basic 2005 Made Simple,,Taylor & Francis Ltd,20060315.0,42150,9780750663496
47,한글 VISUAL BASIC 5.0 Step by Step,,PCBook(피시북),19980131.0,10800,9788981930417
48,VISUAL BASIC (MY LOVE 12),컴퓨터교육연구소,교학사,20040730.0,9000,9788909098137
49,Visual Basic 2019 Programming,김형진,북스홀릭퍼블리싱,20200106.0,22500,9791162890233
50,Murach’s Visual Basic 2015 (Training & Reference),,Mike Murach & Associates,20161108.0,92120,9781890774981
51,Cambridge Igcse(r) Computer Science Programming Book (For Microsoft Visual Basic),,Cambridge University Press,20151008.0,31250,9781107518643
52,Microsoft Visual Basic.Net (Language Reference),Microsoft Official Academic Course Staff,Microsoft Press,20020301.0,59430,9780735615526
53,"Microsoft Visual Basic 2005, 2/E (Reloaded)","Zak, Diane",Course Technology,20060117.0,36000,9781418836238
54,Visual Basic.NET 프로젝트 따라하기 (Visual Studio Programming),장중한^이재원^유학수,컴스페이스,20110820.0,0,9788992376389
55,Visual Basic in Easy Steps,,In Easy Steps,20110111.0,19530,9781840784091
56,Algorithms in Visual Basic,,Springer-Verlag Telos,20030401.0,89630,9780387987156
57,Advanced Visual Basic 2010,,Addison-Wesley Professional,20110301.0,228730,9780132316743
58,Visual Basic.NET 프로젝트 실무 연습 (프로그램 개발자로의 지침서 | Visual studio 2017 Programming),편집부,컴스페이스,20170629.0,31500,9788992376433
